类型,母序列,子序列,采样点,关联系数
铅钡,MgO,Na2O,30部位1,0.8689725865
铅钡,MgO,Na2O,30部位2,0.9272400528
铅钡,MgO,Na2O,31,0.8795564029
铅钡,MgO,Na2O,32,1
铅钡,MgO,Na2O,33,0.8666551257
铅钡,MgO,Na2O,34,1
铅钡,MgO,Na2O,35,1
铅钡,MgO,Na2O,36,0.804006383
铅钡,MgO,Na2O,37,1
铅钡,MgO,Na2O,38,0.8684072446
铅钡,MgO,Na2O,39,1
铅钡,MgO,Na2O,40,1
铅钡,MgO,Na2O,41,0.7042045496
铅钡,MgO,Na2O,42未风化点1,0.6837222098
铅钡,MgO,Na2O,42未风化点2,0.6919344622
铅钡,MgO,Na2O,43部位1,0.8795564029
铅钡,MgO,Na2O,43部位2,0.8724721099
铅钡,MgO,Na2O,44未风化点,0.7484979635
铅钡,MgO,Na2O,45,0.8487316507
铅钡,MgO,Na2O,46,0.7955773935
铅钡,MgO,Na2O,47,0.7052960005
铅钡,MgO,Na2O,48,0.8702453293
铅钡,MgO,Na2O,49,0.8155433206
铅钡,MgO,Na2O,49未风化点,0.8441427051
铅钡,MgO,Na2O,50,0.9325618686
铅钡,MgO,Na2O,50未风化点,0.9232883814
铅钡,MgO,Na2O,51部位1,0.8452405126
铅钡,MgO,Na2O,51部位2,0.8175951694
铅钡,MgO,Na2O,52,0.9529794883
铅钡,MgO,Na2O,53未风化点,0.8632516873
铅钡,MgO,Na2O,54,0.8354618502
铅钡,MgO,Na2O,54严重风化点,0.8541268476
铅钡,MgO,Na2O,55,0.770667424
铅钡,MgO,Na2O,56,1
铅钡,MgO,Na2O,57,1
铅钡,MgO,Na2O,58,0.8916227229
铅钡,MgO,K2O,02,0.7044155613
铅钡,MgO,K2O,08,1
铅钡,MgO,K2O,08严重风化点,1
铅钡,MgO,K2O,11,0.989126578
铅钡,MgO,K2O,19,0.9167765836
铅钡,MgO,K2O,20,0.7109808901
铅钡,MgO,K2O,23未风化点,0.9015167923
铅钡,MgO,K2O,24,1
铅钡,MgO,K2O,25未风化点,1
铅钡,MgO,K2O,26,1
铅钡,MgO,K2O,26严重风化点,0.8136575042
铅钡,MgO,K2O,28未风化点,0.9950252773
铅钡,MgO,K2O,29未风化点,0.9456355055
铅钡,MgO,K2O,30部位1,0.603680502
铅钡,MgO,K2O,30部位2,0.9272400528
铅钡,MgO,K2O,31,0.8795564029
铅钡,MgO,K2O,32,0.8926701351
铅钡,MgO,K2O,33,0.9363474387
铅钡,MgO,K2O,34,0.8747861953
铅钡,MgO,K2O,35,1
铅钡,MgO,K2O,36,0.9257918395
铅钡,MgO,K2O,37,0.8836376862
铅钡,MgO,K2O,38,1
铅钡,MgO,K2O,39,1
铅钡,MgO,K2O,40,1
铅钡,MgO,K2O,41,0.8560751356
铅钡,MgO,K2O,42未风化点1,0.9243620626
铅钡,MgO,K2O,42未风化点2,0.978558137
铅钡,MgO,K2O,43部位1,0.8795564029
铅钡,MgO,K2O,43部位2,0.8724721099
铅钡,MgO,K2O,44未风化点,0.8972559618
铅钡,MgO,K2O,45,0.9515857176
铅钡,MgO,K2O,46,0.8978173667
铅钡,MgO,K2O,47,0.9326768011
铅钡,MgO,K2O,48,0.9490078506
铅钡,MgO,K2O,49,0.8155433206
铅钡,MgO,K2O,49未风化点,0.9872934703
铅钡,MgO,K2O,50,0.9325618686
铅钡,MgO,K2O,50未风化点,0.9232883814
铅钡,MgO,K2O,51部位1,0.8452405126
铅钡,MgO,K2O,51部位2,0.8175951694
铅钡,MgO,K2O,52,0.9219786319
铅钡,MgO,K2O,53未风化点,0.8989393611
铅钡,MgO,K2O,54,0.9864578399
铅钡,MgO,K2O,54严重风化点,0.8541268476
铅钡,MgO,K2O,55,1
铅钡,MgO,K2O,56,1
铅钡,MgO,K2O,57,1
铅钡,MgO,K2O,58,0.9318665806
铅钡,MgO,CaO,02,0.9361653369
铅钡,MgO,CaO,08,0.9330938112
铅钡,MgO,CaO,08严重风化点,0.8661380711
铅钡,MgO,CaO,11,0.9426739798
铅钡,MgO,CaO,19,0.9513159682
铅钡,MgO,CaO,20,1
铅钡,MgO,CaO,23未风化点,0.9216441309
铅钡,MgO,CaO,24,0.9777362237
铅钡,MgO,CaO,25未风化点,0.9703815487
铅钡,MgO,CaO,26,0.9347841584
铅钡,MgO,CaO,26严重风化点,0.8727300962
铅钡,MgO,CaO,28未风化点,0.9183236609
铅钡,MgO,CaO,29未风化点,0.9217630657
铅钡,MgO,CaO,30部位1,0.9374276941
铅钡,MgO,CaO,30部位2,0.8873494284
铅钡,MgO,CaO,31,0.9439132925
铅钡,MgO,CaO,32,0.9781995942
铅钡,MgO,CaO,33,0.8905872939
铅钡,MgO,CaO,34,0.9635863261
铅钡,MgO,CaO,35,0.9819224303
铅钡,MgO,CaO,36,0.9823897782
铅钡,MgO,CaO,37,0.958663339
铅钡,MgO,CaO,38,0.9681058506
铅钡,MgO,CaO,39,0.9489667483
铅钡,MgO,CaO,40,0.9169277471
铅钡,MgO,CaO,41,0.8476458486
铅钡,MgO,CaO,42未风化点1,0.8853985807
铅钡,MgO,CaO,42未风化点2,0.8485511346
铅钡,MgO,CaO,43部位1,0.8953090399
铅钡,MgO,CaO,43部位2,0.8591794606
铅钡,MgO,CaO,44未风化点,0.9060601092
铅钡,MgO,CaO,45,0.9318267322
铅钡,MgO,CaO,46,0.7955773935
铅钡,MgO,CaO,47,0.9508365806
铅钡,MgO,CaO,48,0.9088246188
铅钡,MgO,CaO,49,0.9957354155
铅钡,MgO,CaO,49未风化点,0.9226273699
铅钡,MgO,CaO,50,0.9240133716
铅钡,MgO,CaO,50未风化点,0.9362649544
铅钡,MgO,CaO,51部位1,0.990442228
铅钡,MgO,CaO,51部位2,0.9751901953
铅钡,MgO,CaO,52,0.9752729407
铅钡,MgO,CaO,53未风化点,0.8790340229
铅钡,MgO,CaO,54,0.9593316208
铅钡,MgO,CaO,54严重风化点,0.8541268476
铅钡,MgO,CaO,55,0.9480949579
铅钡,MgO,CaO,56,0.9446237554
铅钡,MgO,CaO,57,0.9403203332
铅钡,MgO,CaO,58,0.9546227258
铅钡,MgO,Al2O3,02,0.9742930578
铅钡,MgO,Al2O3,08,0.9649828064
铅钡,MgO,Al2O3,08严重风化点,0.9708178232
铅钡,MgO,Al2O3,11,0.9648830004
铅钡,MgO,Al2O3,19,0.9941354437
铅钡,MgO,Al2O3,20,0.8713922451
铅钡,MgO,Al2O3,23未风化点,0.9338922487
铅钡,MgO,Al2O3,24,0.9587194362
铅钡,MgO,Al2O3,25未风化点,0.9510648744
铅钡,MgO,Al2O3,26,0.9813962961
铅钡,MgO,Al2O3,26严重风化点,0.9690344921
铅钡,MgO,Al2O3,28未风化点,0.9741052761
铅钡,MgO,Al2O3,29未风化点,0.8627525023
铅钡,MgO,Al2O3,30部位1,0.9680691712
铅钡,MgO,Al2O3,30部位2,0.9746005227
铅钡,MgO,Al2O3,31,0.9499235077
铅钡,MgO,Al2O3,32,0.9399291099
铅钡,MgO,Al2O3,33,0.9172441233
铅钡,MgO,Al2O3,34,0.9579732913
铅钡,MgO,Al2O3,35,0.9624676633
铅钡,MgO,Al2O3,36,0.9584705921
铅钡,MgO,Al2O3,37,0.9313944112
铅钡,MgO,Al2O3,38,0.9349316282
铅钡,MgO,Al2O3,39,0.9866406304
铅钡,MgO,Al2O3,40,0.9879604833
铅钡,MgO,Al2O3,41,0.751956691
铅钡,MgO,Al2O3,42未风化点1,0.9327359101
铅钡,MgO,Al2O3,42未风化点2,0.9754159751
铅钡,MgO,Al2O3,43部位1,0.9293632041
铅钡,MgO,Al2O3,43部位2,0.9489251679
铅钡,MgO,Al2O3,44未风化点,0.7442404511
铅钡,MgO,Al2O3,45,0.978909335
铅钡,MgO,Al2O3,46,0.8871279935
铅钡,MgO,Al2O3,47,0.9891303063
铅钡,MgO,Al2O3,48,0.8828444817
铅钡,MgO,Al2O3,49,0.9255118044
铅钡,MgO,Al2O3,49未风化点,0.9914630496
铅钡,MgO,Al2O3,50,0.9787854654
铅钡,MgO,Al2O3,50未风化点,0.9712795232
铅钡,MgO,Al2O3,51部位1,0.960686324
铅钡,MgO,Al2O3,51部位2,0.8657055983
铅钡,MgO,Al2O3,52,0.9494778696
铅钡,MgO,Al2O3,53未风化点,0.9888319402
铅钡,MgO,Al2O3,54,0.9220340919
铅钡,MgO,Al2O3,54严重风化点,0.9328859493
铅钡,MgO,Al2O3,55,0.9622168699
铅钡,MgO,Al2O3,56,0.9522912031
铅钡,MgO,Al2O3,57,0.9442553841
铅钡,MgO,Al2O3,58,0.9744431076
铅钡,MgO,Fe2O3,02,0.9090209407
铅钡,MgO,Fe2O3,08,1
铅钡,MgO,Fe2O3,08严重风化点,1
铅钡,MgO,Fe2O3,11,0.9015167923
铅钡,MgO,Fe2O3,19,0.9004058016
铅钡,MgO,Fe2O3,20,0.8139052459
铅钡,MgO,Fe2O3,23未风化点,0.9015167923
铅钡,MgO,Fe2O3,24,1
铅钡,MgO,Fe2O3,25未风化点,0.80991265
铅钡,MgO,Fe2O3,26,1
铅钡,MgO,Fe2O3,26严重风化点,1
铅钡,MgO,Fe2O3,28未风化点,0.9159360273
铅钡,MgO,Fe2O3,29未风化点,0.9036660889
铅钡,MgO,Fe2O3,30部位1,0.8545356586
铅钡,MgO,Fe2O3,30部位2,0.7482669119
铅钡,MgO,Fe2O3,31,0.6418150743
铅钡,MgO,Fe2O3,32,0.8684927928
铅钡,MgO,Fe2O3,33,0.8666551257
铅钡,MgO,Fe2O3,34,0.9335608847
铅钡,MgO,Fe2O3,35,0.9749045857
铅钡,MgO,Fe2O3,36,0.9537849142
铅钡,MgO,Fe2O3,37,1
铅钡,MgO,Fe2O3,38,0.9579353264
铅钡,MgO,Fe2O3,39,1
铅钡,MgO,Fe2O3,40,0.9720347486
铅钡,MgO,Fe2O3,41,0.8703219519
铅钡,MgO,Fe2O3,42未风化点1,0.8563777038
铅钡,MgO,Fe2O3,42未风化点2,0.8485511346
铅钡,MgO,Fe2O3,43部位1,0.9786100052
铅钡,MgO,Fe2O3,43部位2,0.9395799343
铅钡,MgO,Fe2O3,44未风化点,0.8955811286
铅钡,MgO,Fe2O3,45,0.8977808905
铅钡,MgO,Fe2O3,46,0.7955773935
铅钡,MgO,Fe2O3,47,0.9141975111
铅钡,MgO,Fe2O3,48,0.9250829819
铅钡,MgO,Fe2O3,49,0.8412449218
铅钡,MgO,Fe2O3,49未风化点,0.9923887568
铅钡,MgO,Fe2O3,50,0.9781421392
铅钡,MgO,Fe2O3,50未风化点,0.9232883814
铅钡,MgO,Fe2O3,51部位1,0.9971030478
铅钡,MgO,Fe2O3,51部位2,0.8624386326
铅钡,MgO,Fe2O3,52,0.9525649081
铅钡,MgO,Fe2O3,53未风化点,0.8507726614
铅钡,MgO,Fe2O3,54,0.8354618502
铅钡,MgO,Fe2O3,54严重风化点,0.8541268476
铅钡,MgO,Fe2O3,55,1
铅钡,MgO,Fe2O3,56,1
铅钡,MgO,Fe2O3,57,1
铅钡,MgO,Fe2O3,58,0.9914039055
铅钡,MgO,CuO,02,0.8562978292
铅钡,MgO,CuO,08,0.6451309177
铅钡,MgO,CuO,08严重风化点,0.857691643
铅钡,MgO,CuO,11,0.8686108168
铅钡,MgO,CuO,19,0.9134981269
铅钡,MgO,CuO,20,0.7983527512
铅钡,MgO,CuO,23未风化点,0.9535139232
铅钡,MgO,CuO,24,0.6910690675
铅钡,MgO,CuO,25未风化点,0.9441250532
铅钡,MgO,CuO,26,0.6416312811
铅钡,MgO,CuO,26严重风化点,0.8401758904
铅钡,MgO,CuO,28未风化点,0.8799532201
铅钡,MgO,CuO,29未风化点,0.8402291964
铅钡,MgO,CuO,30部位1,0.8689725865
铅钡,MgO,CuO,30部位2,0.9272400528
铅钡,MgO,CuO,31,0.8979185254
铅钡,MgO,CuO,32,0.9942210992
铅钡,MgO,CuO,33,0.8857189346
铅钡,MgO,CuO,34,0.9261063077
铅钡,MgO,CuO,35,0.9916163481
铅钡,MgO,CuO,36,0.9653145492
铅钡,MgO,CuO,37,0.8627748946
铅钡,MgO,CuO,38,0.9628588732
铅钡,MgO,CuO,39,0.9555662417
铅钡,MgO,CuO,40,1
铅钡,MgO,CuO,41,0.7092187561
铅钡,MgO,CuO,42未风化点1,0.9740664007
铅钡,MgO,CuO,42未风化点2,0.9664148402
铅钡,MgO,CuO,43部位1,0.8727818708
铅钡,MgO,CuO,43部位2,0.9377530764
铅钡,MgO,CuO,44未风化点,0.9777832451
铅钡,MgO,CuO,45,0.9209359134
铅钡,MgO,CuO,46,0.8221917425
铅钡,MgO,CuO,47,0.9438334248
铅钡,MgO,CuO,48,0.8084422457
铅钡,MgO,CuO,49,0.8409100331
铅钡,MgO,CuO,49未风化点,0.8614336935
铅钡,MgO,CuO,50,0.9875521195
铅钡,MgO,CuO,50未风化点,0.9559346222
铅钡,MgO,CuO,51部位1,0.9003304649
铅钡,MgO,CuO,51部位2,0.8449738443
铅钡,MgO,CuO,52,0.9545306836
铅钡,MgO,CuO,53未风化点,0.8719398605
铅钡,MgO,CuO,54,0.8672388597
铅钡,MgO,CuO,54严重风化点,0.9091077832
铅钡,MgO,CuO,55,0.9565322035
铅钡,MgO,CuO,56,0.9599285039
铅钡,MgO,CuO,57,0.9422447719
铅钡,MgO,CuO,58,0.9580001454
铅钡,MgO,PbO,02,0.9612588662
铅钡,MgO,PbO,08,0.9213077785
铅钡,MgO,PbO,08严重风化点,0.9118752219
铅钡,MgO,PbO,11,0.9674677227
铅钡,MgO,PbO,19,0.96455596
铅钡,MgO,PbO,20,0.9730495618
铅钡,MgO,PbO,23未风化点,0.9445791477
铅钡,MgO,PbO,24,0.920146417
铅钡,MgO,PbO,25未风化点,0.9132392728
铅钡,MgO,PbO,26,0.9191640755
铅钡,MgO,PbO,26严重风化点,0.9181838292
铅钡,MgO,PbO,28未风化点,0.9067696865
铅钡,MgO,PbO,29未风化点,0.8385093657
铅钡,MgO,PbO,30部位1,0.9671358701
铅钡,MgO,PbO,30部位2,0.9671868736
铅钡,MgO,PbO,31,0.9194149222
铅钡,MgO,PbO,32,0.9444222367
铅钡,MgO,PbO,33,0.9043762597
铅钡,MgO,PbO,34,0.878245865
铅钡,MgO,PbO,35,0.9383781941
铅钡,MgO,PbO,36,0.8897420863
铅钡,MgO,PbO,37,0.9511639463
铅钡,MgO,PbO,38,0.8719513054
铅钡,MgO,PbO,39,0.8461976098
铅钡,MgO,PbO,40,0.8270638019
铅钡,MgO,PbO,41,0.7760085712
铅钡,MgO,PbO,42未风化点1,0.9069908698
铅钡,MgO,PbO,42未风化点2,0.8940075408
铅钡,MgO,PbO,43部位1,0.9603324313
铅钡,MgO,PbO,43部位2,0.9872683691
铅钡,MgO,PbO,44未风化点,0.9610461585
铅钡,MgO,PbO,45,0.9378780023
铅钡,MgO,PbO,46,0.8462025113
铅钡,MgO,PbO,47,0.9821154024
铅钡,MgO,PbO,48,0.8402232639
铅钡,MgO,PbO,49,0.8893767027
铅钡,MgO,PbO,49未风化点,0.8959958511
铅钡,MgO,PbO,50,0.9445331466
铅钡,MgO,PbO,50未风化点,0.991988468
铅钡,MgO,PbO,51部位1,0.9405089715
铅钡,MgO,PbO,51部位2,0.9344043426
铅钡,MgO,PbO,52,0.946431524
铅钡,MgO,PbO,53未风化点,0.8812743058
铅钡,MgO,PbO,54,0.969204467
铅钡,MgO,PbO,54严重风化点,0.9966940606
铅钡,MgO,PbO,55,0.910712803
铅钡,MgO,PbO,56,0.8905916446
铅钡,MgO,PbO,57,0.8815893422
铅钡,MgO,PbO,58,0.9956588946
铅钡,MgO,BaO,02,0.8463411792
铅钡,MgO,BaO,08,0.7717992455
铅钡,MgO,BaO,08严重风化点,0.7752548131
铅钡,MgO,BaO,11,0.9717415372
铅钡,MgO,BaO,19,0.961421484
铅钡,MgO,BaO,20,0.8176866193
铅钡,MgO,BaO,23未风化点,0.9969649647
铅钡,MgO,BaO,24,0.8010666177
铅钡,MgO,BaO,25未风化点,0.9407694721
铅钡,MgO,BaO,26,0.7660893953
铅钡,MgO,BaO,26严重风化点,0.7487119889
铅钡,MgO,BaO,28未风化点,0.8963687144
铅钡,MgO,BaO,29未风化点,0.8264227871
铅钡,MgO,BaO,30部位1,0.9493408049
铅钡,MgO,BaO,30部位2,0.9808532781
铅钡,MgO,BaO,31,0.9053399233
铅钡,MgO,BaO,32,0.9558383768
铅钡,MgO,BaO,33,0.8926567142
铅钡,MgO,BaO,34,0.9135121556
铅钡,MgO,BaO,35,0.9489682167
铅钡,MgO,BaO,36,0.9070012552
铅钡,MgO,BaO,37,0.91083377
铅钡,MgO,BaO,38,0.9151743362
铅钡,MgO,BaO,39,0.9360174031
铅钡,MgO,BaO,40,0.9404344199
铅钡,MgO,BaO,41,0.7532173722
铅钡,MgO,BaO,42未风化点1,0.9358186626
铅钡,MgO,BaO,42未风化点2,0.9298245815
铅钡,MgO,BaO,43部位1,0.9364016467
铅钡,MgO,BaO,43部位2,0.8966165218
铅钡,MgO,BaO,44未风化点,0.9529064415
铅钡,MgO,BaO,45,0.9900084121
铅钡,MgO,BaO,46,0.8608041054
铅钡,MgO,BaO,47,0.9935721747
铅钡,MgO,BaO,48,0.8563561475
铅钡,MgO,BaO,49,0.8558537252
铅钡,MgO,BaO,49未风化点,0.8733895226
铅钡,MgO,BaO,50,0.9415085317
铅钡,MgO,BaO,50未风化点,0.9763750109
铅钡,MgO,BaO,51部位1,0.9103698132
铅钡,MgO,BaO,51部位2,0.8175951694
铅钡,MgO,BaO,52,0.9971843372
铅钡,MgO,BaO,53未风化点,0.9171886484
铅钡,MgO,BaO,54,0.884728141
铅钡,MgO,BaO,54严重风化点,0.8541268476
铅钡,MgO,BaO,55,0.9300010824
铅钡,MgO,BaO,56,0.8723912315
铅钡,MgO,BaO,57,0.8592617003
铅钡,MgO,BaO,58,0.953262817
铅钡,MgO,P2O5,02,0.9312100661
铅钡,MgO,P2O5,08,0.9022922868
铅钡,MgO,P2O5,08严重风化点,0.8143064476
铅钡,MgO,P2O5,11,0.8520097535
铅钡,MgO,P2O5,19,0.8506520894
铅钡,MgO,P2O5,20,0.8521935915
铅钡,MgO,P2O5,23未风化点,0.9015167923
铅钡,MgO,P2O5,24,0.9957948155
铅钡,MgO,P2O5,25未风化点,0.9943015222
铅钡,MgO,P2O5,26,0.9137318914
铅钡,MgO,P2O5,26严重风化点,0.8458878494
铅钡,MgO,P2O5,28未风化点,0.8908756703
铅钡,MgO,P2O5,29未风化点,0.8217693443
铅钡,MgO,P2O5,30部位1,0.8689725865
铅钡,MgO,P2O5,30部位2,0.965308447
铅钡,MgO,P2O5,31,0.919057442
铅钡,MgO,P2O5,32,0.9948983018
铅钡,MgO,P2O5,33,0.8696104256
铅钡,MgO,P2O5,34,0.989848394
铅钡,MgO,P2O5,35,0.9874896631
铅钡,MgO,P2O5,36,0.9978929776
铅钡,MgO,P2O5,37,0.9578183871
铅钡,MgO,P2O5,38,0.985727979
铅钡,MgO,P2O5,39,0.9661928196
铅钡,MgO,P2O5,40,0.9493159623
铅钡,MgO,P2O5,41,0.8368064791
铅钡,MgO,P2O5,42未风化点1,0.8581511019
铅钡,MgO,P2O5,42未风化点2,0.8485511346
铅钡,MgO,P2O5,43部位1,0.8795564029
铅钡,MgO,P2O5,43部位2,0.8059095129
铅钡,MgO,P2O5,44未风化点,1
铅钡,MgO,P2O5,45,0.8977808905
铅钡,MgO,P2O5,46,0.7994142137
铅钡,MgO,P2O5,47,0.9167254494
铅钡,MgO,P2O5,48,0.8307259095
铅钡,MgO,P2O5,49,0.9020039484
铅钡,MgO,P2O5,49未风化点,0.9484733541
铅钡,MgO,P2O5,50,0.8937156975
铅钡,MgO,P2O5,50未风化点,0.9024018493
铅钡,MgO,P2O5,51部位1,0.9423008526
铅钡,MgO,P2O5,51部位2,0.9607673372
铅钡,MgO,P2O5,52,0.9194456222
铅钡,MgO,P2O5,53未风化点,0.8507726614
铅钡,MgO,P2O5,54,0.9354117741
铅钡,MgO,P2O5,54严重风化点,0.7965402813
铅钡,MgO,P2O5,55,0.9895529366
铅钡,MgO,P2O5,56,0.9288360668
铅钡,MgO,P2O5,57,1
铅钡,MgO,P2O5,58,0.8698506414
铅钡,MgO,SrO,02,0.8870562367
铅钡,MgO,SrO,08,0.9044777713
铅钡,MgO,SrO,08严重风化点,0.8685986454
铅钡,MgO,SrO,11,0.9963818264
铅钡,MgO,SrO,19,0.9647425701
铅钡,MgO,SrO,20,1
铅钡,MgO,SrO,23未风化点,0.9851744552
铅钡,MgO,SrO,24,0.7938118149
铅钡,MgO,SrO,25未风化点,0.9459962127
铅钡,MgO,SrO,26,0.8861751919
铅钡,MgO,SrO,26严重风化点,0.8496402507
铅钡,MgO,SrO,28未风化点,0.8931685488
铅钡,MgO,SrO,29未风化点,0.8636359376
铅钡,MgO,SrO,30部位1,0.9515810887
铅钡,MgO,SrO,30部位2,0.9446986022
铅钡,MgO,SrO,31,0.9511971871
铅钡,MgO,SrO,32,1
铅钡,MgO,SrO,33,0.8666551257
铅钡,MgO,SrO,34,0.9409149158
铅钡,MgO,SrO,35,1
铅钡,MgO,SrO,36,0.9409149158
铅钡,MgO,SrO,37,0.918708652
铅钡,MgO,SrO,38,0.8952329446
铅钡,MgO,SrO,39,0.8517057711
铅钡,MgO,SrO,40,0.8374544977
铅钡,MgO,SrO,41,0.777672561
铅钡,MgO,SrO,42未风化点1,0.9364985102
铅钡,MgO,SrO,42未风化点2,0.8485511346
铅钡,MgO,SrO,43部位1,0.9562600547
铅钡,MgO,SrO,43部位2,0.9881279054
铅钡,MgO,SrO,44未风化点,0.9309143426
铅钡,MgO,SrO,45,0.9540092763
铅钡,MgO,SrO,46,0.881669104
铅钡,MgO,SrO,47,0.8705016634
铅钡,MgO,SrO,48,0.8579357977
铅钡,MgO,SrO,49,0.9133445548
铅钡,MgO,SrO,49未风化点,0.9099149642
铅钡,MgO,SrO,50,0.8960002278
铅钡,MgO,SrO,50未风化点,0.9828632551
铅钡,MgO,SrO,51部位1,0.9330306318
铅钡,MgO,SrO,51部位2,0.8175951694
铅钡,MgO,SrO,52,0.9606453659
铅钡,MgO,SrO,53未风化点,0.9104689387
铅钡,MgO,SrO,54,0.9485518139
铅钡,MgO,SrO,54严重风化点,0.8703984181
铅钡,MgO,SrO,55,1
铅钡,MgO,SrO,56,1
铅钡,MgO,SrO,57,1
铅钡,MgO,SrO,58,0.9496256102
铅钡,MgO,SnO2,02,0.8463411792
铅钡,MgO,SnO2,08,1
铅钡,MgO,SnO2,08严重风化点,1
铅钡,MgO,SnO2,11,0.9015167923
铅钡,MgO,SnO2,19,0.9167765836
铅钡,MgO,SnO2,20,1
铅钡,MgO,SnO2,23未风化点,0.9015167923
铅钡,MgO,SnO2,24,1
铅钡,MgO,SnO2,25未风化点,1
铅钡,MgO,SnO2,26,1
铅钡,MgO,SnO2,26严重风化点,1
铅钡,MgO,SnO2,28未风化点,0.8071775162
铅钡,MgO,SnO2,29未风化点,0.8135017446
铅钡,MgO,SnO2,30部位1,0.6526337857
铅钡,MgO,SnO2,30部位2,0.5977745398
铅钡,MgO,SnO2,31,0.8795564029
铅钡,MgO,SnO2,32,1
铅钡,MgO,SnO2,33,0.8666551257
铅钡,MgO,SnO2,34,1
铅钡,MgO,SnO2,35,1
铅钡,MgO,SnO2,36,1
铅钡,MgO,SnO2,37,1
铅钡,MgO,SnO2,38,1
铅钡,MgO,SnO2,39,1
铅钡,MgO,SnO2,40,1
铅钡,MgO,SnO2,41,0.7042045496
铅钡,MgO,SnO2,42未风化点1,0.8563777038
铅钡,MgO,SnO2,42未风化点2,0.8485511346
铅钡,MgO,SnO2,43部位1,0.8795564029
铅钡,MgO,SnO2,43部位2,0.8724721099
铅钡,MgO,SnO2,44未风化点,1
铅钡,MgO,SnO2,45,0.8977808905
铅钡,MgO,SnO2,46,0.7955773935
铅钡,MgO,SnO2,47,0.9141975111
铅钡,MgO,SnO2,48,0.3333333333
铅钡,MgO,SnO2,49,0.8155433206
铅钡,MgO,SnO2,49未风化点,0.8441427051
铅钡,MgO,SnO2,50,0.9325618686
铅钡,MgO,SnO2,50未风化点,0.9232883814
铅钡,MgO,SnO2,51部位1,0.6174846447
铅钡,MgO,SnO2,51部位2,0.8175951694
铅钡,MgO,SnO2,52,0.9219786319
铅钡,MgO,SnO2,53未风化点,0.8507726614
铅钡,MgO,SnO2,54,0.8354618502
铅钡,MgO,SnO2,54严重风化点,0.8541268476
铅钡,MgO,SnO2,55,1
铅钡,MgO,SnO2,56,1
铅钡,MgO,SnO2,57,1
铅钡,MgO,SnO2,58,0.8916227229
铅钡,MgO,SO2,02,0.8463411792
铅钡,MgO,SO2,08,0.757307337
铅钡,MgO,SO2,08严重风化点,0.348807405
铅钡,MgO,SO2,11,0.9015167923
铅钡,MgO,SO2,19,0.9167765836
铅钡,MgO,SO2,20,1
铅钡,MgO,SO2,23未风化点,0.9015167923
铅钡,MgO,SO2,24,1
铅钡,MgO,SO2,25未风化点,1
铅钡,MgO,SO2,26,0.8042100686
铅钡,MgO,SO2,26严重风化点,0.3354368607
铅钡,MgO,SO2,28未风化点,0.8666551257
铅钡,MgO,SO2,29未风化点,0.8135017446
铅钡,MgO,SO2,30部位1,0.8689725865
铅钡,MgO,SO2,30部位2,0.9272400528
铅钡,MgO,SO2,31,0.8795564029
铅钡,MgO,SO2,32,1
铅钡,MgO,SO2,33,0.8666551257
铅钡,MgO,SO2,34,1
铅钡,MgO,SO2,35,1
铅钡,MgO,SO2,36,1
铅钡,MgO,SO2,37,0.6874660911
铅钡,MgO,SO2,38,1
铅钡,MgO,SO2,39,1
铅钡,MgO,SO2,40,1
铅钡,MgO,SO2,41,0.7042045496
铅钡,MgO,SO2,42未风化点1,0.8563777038
铅钡,MgO,SO2,42未风化点2,0.8485511346
铅钡,MgO,SO2,43部位1,0.8795564029
铅钡,MgO,SO2,43部位2,0.8724721099
铅钡,MgO,SO2,44未风化点,1
铅钡,MgO,SO2,45,0.8977808905
铅钡,MgO,SO2,46,0.7955773935
铅钡,MgO,SO2,47,0.9141975111
铅钡,MgO,SO2,48,0.8084422457
铅钡,MgO,SO2,49,0.8155433206
铅钡,MgO,SO2,49未风化点,0.8441427051
铅钡,MgO,SO2,50,0.9325618686
铅钡,MgO,SO2,50未风化点,0.9232883814
铅钡,MgO,SO2,51部位1,0.8452405126
铅钡,MgO,SO2,51部位2,0.8175951694
铅钡,MgO,SO2,52,0.9219786319
铅钡,MgO,SO2,53未风化点,0.8507726614
铅钡,MgO,SO2,54,0.8354618502
铅钡,MgO,SO2,54严重风化点,0.8541268476
铅钡,MgO,SO2,55,1
铅钡,MgO,SO2,56,1
铅钡,MgO,SO2,57,1
铅钡,MgO,SO2,58,0.8916227229
铅钡,Al2O3,SiO2,02,0.9403998756
铅钡,Al2O3,SiO2,08,0.985356535
铅钡,Al2O3,SiO2,08严重风化点,0.9822642498
铅钡,Al2O3,SiO2,11,0.9875482076
铅钡,Al2O3,SiO2,19,0.9796285385
铅钡,Al2O3,SiO2,20,0.9498717926
铅钡,Al2O3,SiO2,23未风化点,0.9084408835
铅钡,Al2O3,SiO2,24,0.9626214839
铅钡,Al2O3,SiO2,25未风化点,0.9266733035
铅钡,Al2O3,SiO2,26,0.96925999
铅钡,Al2O3,SiO2,26严重风化点,0.9781567417
铅钡,Al2O3,SiO2,28未风化点,0.9549771231
铅钡,Al2O3,SiO2,29未风化点,0.8119065796
铅钡,Al2O3,SiO2,30部位1,0.9707406231
铅钡,Al2O3,SiO2,30部位2,0.990343145
铅钡,Al2O3,SiO2,31,0.9211409827
铅钡,Al2O3,SiO2,32,0.8957448008
